URL,Arquivo,Linha,Texto,Contexto
"https://openfinancebrasil.atlassian.net/wiki/spaces/DraftOF/pages/85295324/07.+Criando+certificados+de+transporte+e+assinatura+em+Sandbox#Etapa-2:-Criando-um-Novo-Certificado-de-Assinatura","add/openfinance_markdown/_geral/Controle de Versão - [GODC].md",153,"Criando certificados de transporte e assinatura em Sandbox","-   Alteração: Adicionado um ponto de atenção em [Criando certificados de transporte e assinatura e"
"https://openfinancebrasil.atlassian.net/wiki/spaces/DraftOF/pages/85196857/09.+Cadastrando+um+Authorisation+Server#Detalhamento-do-Logotipo","add/openfinance_markdown/_geral/Controle de Versão - [GODC].md",162,"logotipo","-   Adição: foi adicionado uma descrição do [logotipo](https://openfinancebrasil.atlassian.net"
"https://openfinancebrasil.atlassian.net/wiki/spaces/OF/pages/edit-v2/1216872449?draftShareId=05671ee7-5a09-47e7-b63b-83aa2a978507","add/openfinance_markdown/_geral/Controle de Versões.md",22,"https://openfinancebrasil.atlassian.net/wiki/spaces/OF/pages/edit-v2/1216872449?draftShareId=05671ee7-5a09-47e7-b63b-83aa2a978507","g)**Changelog Completo**  -   Changelog Completo: [https://openfinancebrasil.atlassian.net/wiki/spac"
"https://openfinancebrasil.atlassian.net/wiki/rest/api/content/105021661/child/attachment/att118784039/download","add/openfinance_markdown/_geral/Convenção de Webhook.md",32,"webhook\_consent.png","orma:       **Exemplo de URI do consentimento**  ![webhook\_consent.png](https://openfinancebrasil.a"
"https://openfinancebrasil.atlassian.net/wiki/rest/api/content/105021661/child/attachment/att118784045/download","add/openfinance_markdown/_geral/Convenção de Webhook.md",36,"webhook\_payment.png","4039/download)  **Exemplo de URI do pagamento**  ![webhook\_payment.png](https://openfinancebrasil.a"
"https://github.com/OpenBanking-Brasil/mock-api","add/openfinance_markdown/_geral/Dados Abertos - DA.md",9,"_link_",".  22  ## **Guia de implementação**  Acesse neste [_link_](https://github.com/OpenBanking-Brasil/moc"
"https://www.bcb.gov.br/pre/normativos/busca/downloadNormativo.asp?arquivo=/Lists/Normativos/Attachments/51025/Circ_4015_v1_O.pdf","add/openfinance_markdown/_geral/Dados Abertos - DA.md",15,"Circular nº 4.015","s de juros remuneratórios**  Conforme disposto na [Circular nº 4.015](https://www.bcb.gov.br/pre/nor"
"https://www.in.gov.br/en/web/dou/-/instrucao-normativa-bcb-n-32-de-26-de-outubro-de-2020-285238448","add/openfinance_markdown/_geral/Dados Abertos - DA.md",17,"Instrução Normativa nº 32 BCB","es cobrados e dos clientes.  Segundo o Art. 6º da [Instrução Normativa nº 32 BCB](https://www.in.gov"
"https://openfinancebrasil.org.br/quem-participa/","add/openfinance_markdown/_geral/Dados Cadastrais e Transacionais - DC.md",3,"instituições participantes","ientes poderão solicitar o compartilhamento entre [instituições participantes](https://openfinancebr"
"https://openfinancebrasil.atlassian.net/wiki/download/attachments/7996438/Mapeamento_scopes_roles_permissions.xlsx?api=v2","add/openfinance_markdown/_geral/Dados Cadastrais e Transacionais - DC.md",13,"neste documento","o Cliente Open Finance Brasil pode ser consultada [neste documento](https://openfinancebrasil.atlass"
"https://openbanking-brasil.github.io/areadesenvolvedor/documents/fluxo_basico_consentimento.pdf","add/openfinance_markdown/_geral/Dados Cadastrais e Transacionais - DC.md",17,"link","básico de consentimento**  Disponibilizamos neste [link](https://openbanking-brasil.github.io/areade"
"https://servicedesk.openfinancebrasil.org.br/Login.jsp?gotoURL=servicePortal&navLanguage=pt-BR","add/openfinance_markdown/_geral/Diretrizes Gerais de Certificação de Conformidade.md",5,"Service Desk","à vontade para a submissão de tickets através do [Service Desk](https://servicedesk.openfinancebras"
"https://web.conformance.directory.openbankingbrasil.org.br/log-detail.html?log=yxaJTHHQjF4to64&public=true","add/openfinance_markdown/_geral/Diretrizes Gerais de Certificação de Conformidade.md",56,"https://web.conformance.directory.openbankingbrasil.org.br/log-","icos dos testes (um exemplo pode ser acessado em: [https://web.conformance.directory.openbankingbras"
"https://web.conformance.directory.openbankingbrasil.org.br/log-detail.html?log=yxaJTHHQjF4to64&public=true","add/openfinance_markdown/_geral/Diretrizes Gerais de Certificação de Conformidade.md",56,"detail.html?log=yxaJTHHQjF4to64&public=true","/log-detail.html?log=yxaJTHHQjF4to64&public=true) [detail.html?log=yxaJTHHQjF4to64&public=true](http"
"https://web.conformance.directory.openbankingbrasil.org.br/log-detail.html?log=yxaJTHHQjF4to64&public=true","add/openfinance_markdown/_geral/Guia de Certificação de Conformidade.md",428,"https://web.conformance.directory.openbankingbrasil.org.br/log-","ultado de testes publicados pode ser acessado em: [https://web.conformance.directory.openbankingbras"
"https://web.conformance.directory.openbankingbrasil.org.br/log-detail.html?log=yxaJTHHQjF4to64&public=true","add/openfinance_markdown/_geral/Guia de Certificação de Conformidade.md",428,"detail.html?log=yxaJTHHQjF4to64&public=true","/log-detail.html?log=yxaJTHHQjF4to64&public=true) [detail.html?log=yxaJTHHQjF4to64&public=true](http"
"https://web.conformance.directory.openbankingbrasil.org.br/log-detail.html?log=yxaJTHHQjF4to64&public=true","add/openfinance_markdown/_geral/pdfs/20220912_OpenFinance-Guia_Motor_De_Conformidade_V7.md",659,"https://web.conformance.directory.openbankingbrasil.org.br/log-","tado de testes publicados pode ser acessado em:   [https://web.conformance.directory.openbankingbras"
"https://web.conformance.directory.openbankingbrasil.org.br/log-detail.html?log=yxaJTHHQjF4to64&public=true","add/openfinance_markdown/_geral/pdfs/20220912_OpenFinance-Guia_Motor_De_Conformidade_V7.md",660,"detail.html?log=yxaJTHHQjF4to64&public=true","/log-detail.html?log=yxaJTHHQjF4to64&public=true) [detail.html?log=yxaJTHHQjF4to64&public=true](http"
"https://web.conformance.directory.openbankingbrasil.org.br/","add/openfinance_markdown/_geral/Diretrizes Gerais de Certificação de Conformidade.md",112,"**Acesso ao Motor de Conformidade Funcional,**","úteis relacionados ao motor de conformidade:  -   [**Acesso ao Motor de Conformidade Funcional,**](h"
"https://web.conformance.directory.openbankingbrasil.org.br/","add/openfinance_markdown/_geral/FAQ - Testes e Homologação.md",111,"https://web.conformance.directory.openbankingbrasil.org.br","or de conformidade funcional, está disponível em: [https://web.conformance.directory.openbankingbras"
"https://web.conformance.directory.openbankingbrasil.org.br/","add/openfinance_markdown/_geral/Fluxo de tickets.md",33,"Web Conformance Sandbox","correção de problemas identificados em produção, [Web Conformance Sandbox](https://web.conformance."
"https://web.conformance.directory.openbankingbrasil.org.br/","add/openfinance_markdown/_geral/pdfs/Open_Banking_Informa_4.md",128,"ACESSE A PLATAFORMA","funcional, a plataforma pode ser acessada em:   **[ACESSE A PLATAFORMA](https://web.conformance.dire"
